Time (h)	GUR	mu
7.34	-1.091120433	0.147204658
7.35	-1.089647581	0.146916081
7.36	-1.088179036	0.14662812
7.37	-1.086714778	0.146340772
7.38	-1.085254789	0.146054036
7.39	-1.083799052	0.145767909
7.4	-1.082347548	0.14548239
7.41	-1.080900258	0.145197476
7.42	-1.079457166	0.144913166
7.43	-1.078018252	0.144629458
7.44	-1.0765835	0.144346349
7.45	-1.075152892	0.144063838
7.46	-1.07372641	0.143781922
7.47	-1.072304036	0.143500601
7.48	-1.070885753	0.143219871
7.49	-1.069471545	0.142939732
7.5	-1.068061392	0.14266018
7.51	-1.06665528	0.142381215
7.52	-1.06525319	0.142102834
7.53	-1.063855105	0.141825035
7.54	-1.062461009	0.141547817
7.55	-1.061070885	0.141271178
7.56	-1.059684716	0.140995116
7.57	-1.058302486	0.140719628
7.58	-1.056924178	0.140444714
7.59	-1.055549775	0.140170371
7.6	-1.054179262	0.139896597
7.61	-1.052812621	0.139623392
7.62	-1.051449838	0.139350752
7.63	-1.050090895	0.139078676
7.64	-1.048735778	0.138807162
7.65	-1.047384468	0.138536209
7.66	-1.046036952	0.138265815
7.67	-1.044693214	0.137995977
7.68	-1.043353236	0.137726695
7.69	-1.042017005	0.137457966
7.7	-1.040684504	0.137189789
7.71	-1.039355718	0.136922162
7.72	-1.038030631	0.136655083
7.73	-1.036709229	0.13638855
7.74	-1.035391496	0.136122563
7.75	-1.034077417	0.135857118
7.76	-1.032766977	0.135592214
7.77	-1.03146016	0.135327851
7.78	-1.030156953	0.135064025
7.79	-1.02885734	0.134800735
7.8	-1.027561306	0.13453798
7.81	-1.026268837	0.134275758
7.82	-1.024979918	0.134014067
7.83	-1.023694535	0.133752906
7.84	-1.022412673	0.133492273
7.85	-1.021134318	0.133232166
7.86	-1.019859455	0.132972584
7.87	-1.01858807	0.132713525
7.88	-1.017320149	0.132454987
7.89	-1.016055678	0.132196969
7.9	-1.014794644	0.13193947
7.91	-1.013537031	0.131682487
7.92	-1.012282826	0.131426019
7.93	-1.011032015	0.131170064
